hour,kWh per capita,demand
0,0.586475,1723180.845
1,0.569525,1673378.355
2,0.5362125,1575499.568
3,0.506554167,1488357.453
4,0.4865875,1429691.393
5,0.4791,1407691.62
6,0.482454167,1417546.833
7,0.493479167,1449940.488
8,0.493804167,1450895.403
9,0.506558333,1488369.694
10,0.5479875,1610096.873
11,0.5814875,1708526.573
12,0.595125,1748596.275
13,0.607908333,1786156.264
14,0.6077375,1785654.323
15,0.5779,1697985.78
16,0.562766667,1653521.021
17,0.570570833,1676451.222
18,0.6336125,1861680.248
19,0.6740625,1980530.438
20,0.701695833,2061722.697
21,0.713729167,2097079.038
22,0.692141667,2033650.646
23,0.644508333,1893694.384
24,0.584641667,1717794.146
25,0.5361875,1575426.113
26,0.505,1483791
27,0.491779167,1444945.548
28,0.48835,1434869.97
29,0.506966667,1489569.461
30,0.5710875,1677969.293
31,0.667825,1962203.415
32,0.754329167,2216369.958
33,0.820045833,2409458.667
34,0.864766667,2540857.421
35,0.870804167,2558596.803
36,0.8585625,2522628.338
37,0.853745833,2508476.007
38,0.835375,2454498.825
39,0.810608333,2381729.404
40,0.795925,2338586.835
41,0.799229167,2348295.138
42,0.848204167,2492193.483
43,0.868845833,2552842.827
44,0.879258333,2583436.834
45,0.873266667,2565832.121
46,0.821879167,2414845.368
47,0.748341667,2198777.486
48,0.6820125,2003889.128
49,0.621175,1825136.385
50,0.5875,1726192.5
51,0.570775,1677051.105
52,0.5668,1665371.76
53,0.5804875,1705588.373
54,0.635683333,1867764.769
55,0.724554167,2128885.053
56,0.8100375,2380052.183
57,0.872191667,2562673.556
58,0.901516667,2648836.271
59,0.904233333,2656818.379
60,0.890854167,2617507.713
61,0.881545833,2590157.967
62,0.8576,2519800.32
63,0.8335125,2449026.428
64,0.825958333,2426830.774
65,0.834225,2451119.895
66,0.876483333,2575283.329
67,0.8945375,2628330.083
68,0.902095833,2650537.977
69,0.894883333,2629346.209
70,0.840820833,2470499.772
71,0.7677875,2255913.233
72,0.697129167,2048304.918
73,0.637754167,1873849.293
74,0.605370833,1778700.582
75,0.5891125,1730930.348
76,0.584179167,1716435.228
77,0.5955625,1749881.738
78,0.648441667,1905251.306
79,0.738570833,2170068.822
80,0.819445833,2407695.747
81,0.885108333,2600625.304
82,0.917841667,2696802.386
83,0.9173125,2695247.588
84,0.898633333,2640364.459
85,0.885916667,2603000.351
86,0.855575,2513850.465
87,0.829279167,2436588.048
88,0.8175875,2402235.593
89,0.821704167,2414331.183
90,0.867566667,2549084.381
91,0.8899375,2614814.363
92,0.890029167,2615083.698
93,0.881220833,2589203.052
94,0.832958333,2447398.174
95,0.7752625,2277876.278
96,0.716220833,2104400.052
97,0.658245833,1934057.907
98,0.614470833,1805438.202
99,0.58915,1731040.53
100,0.580245833,1704878.307
101,0.577570833,1697018.622
102,0.590216667,1734174.611
103,0.6246,1835199.72
104,0.6656,1955665.92
105,0.7281625,2139487.058
106,0.793258333,2330751.634
107,0.804475,2363708.445
108,0.7896,2320002.72
109,0.781558333,2296374.694
110,0.7702,2263001.64
111,0.743616667,2184894.491
112,0.724241667,2127966.866
113,0.717820833,2109101.172
114,0.760675,2235015.285
115,0.772395833,2269453.437
116,0.786329167,2310392.358
117,0.795495833,2337325.857
118,0.773333333,2272207.999
119,0.736016667,2162564.171
120,0.6839875,2009692.073
121,0.6235125,1832004.428
122,0.5832625,1713741.878
123,0.556829167,1636075.458
124,0.542595833,1594255.077
125,0.542183333,1593043.069
126,0.546641667,1606142.546
127,0.566725,1665151.395
128,0.585983333,1721736.229
129,0.6330875,1860137.693
130,0.68695,2018396.49
131,0.707595833,2079058.077
132,0.70215,2063057.13
133,0.691783333,2032597.789
134,0.677091667,1989430.736
135,0.645491667,1896583.616
136,0.630916667,1853759.351
137,0.633541667,1861472.126
138,0.696404167,2046174.723
139,0.741625,2179042.575
140,0.7685625,2258190.338
141,0.7817625,2296974.578
142,0.7683875,2257676.153
143,0.717141667,2107105.646
144,0.652233333,1916391.979
145,0.602325,1769751.315
146,0.570941667,1677540.806
147,0.554716667,1629868.511
148,0.552475,1623282.045
149,0.5669875,1665922.673
150,0.618875,1818378.525
151,0.691175,2030810.385
152,0.751295833,2207457.417
153,0.801683333,2355505.969
154,0.843945833,2479681.647
155,0.858441667,2522273.306
156,0.8475625,2490308.138
157,0.849891667,2497151.696
158,0.832620833,2446406.532
159,0.809116667,2377346.591
160,0.795495833,2337325.857
161,0.796545833,2340410.967
162,0.852995833,2506272.357
163,0.891475,2619331.845
164,0.9175125,2695835.228
165,0.910641667,2675647.346
166,0.8488875,2494201.253
167,0.769870833,2262034.482
168,0.707129167,2077686.918
169,0.6523875,1916844.953
170,0.621354167,1825662.813
171,0.605541667,1779202.526
172,0.608970833,1789278.102
173,0.627141667,1842667.646
174,0.695316667,2042979.431
175,0.8192875,2407230.533
176,0.913391667,2683727.396
177,0.944170833,2774162.742
178,0.9649375,2835179.363
179,0.959075,2817954.165
180,0.946683333,2781544.969
181,0.938079167,2756264.208
182,0.908183333,2668424.269
183,0.891295833,2618805.417
184,0.882083333,2591737.249
185,0.8853875,2601445.553
186,0.936054167,2750314.353
187,0.969495833,2848572.657
188,0.983304167,2889144.303
189,0.967145833,2841667.887
190,0.895941667,2632455.806
191,0.808029167,2374151.298
192,0.7396125,2173129.448
193,0.682383333,2004978.709
194,0.643720833,1891380.552
195,0.632041667,1857064.826
196,0.628270833,1845985.362
197,0.642916667,1889017.751
198,0.706241667,2075079.266
199,0.827091667,2430160.736
200,0.915808333,2690828.044
201,0.942970833,2770636.902
202,0.956558333,2810559.694
203,0.947170833,2782977.342
204,0.932716667,2740508.111
205,0.9268875,2723380.853
206,0.898879167,2641086.768
207,0.879833333,2585126.299
208,0.875733333,2573079.679
209,0.879570833,2584355.022
210,0.927804167,2726074.203
211,0.9659125,2838044.108
212,0.978795833,2875897.917
213,0.9608375,2823132.743
214,0.885408333,2601506.764
215,0.798908333,2347352.464
216,0.7313875,2148962.753
217,0.677825,1991585.415
218,0.644704167,1894269.783
219,0.630170833,1851567.942
220,0.627254167,1842998.193
221,0.642433333,1887597.619
222,0.708375,2081347.425
223,0.832304167,2445476.103
224,0.923020833,2712019.812
225,0.950529167,2792844.798
226,0.966429167,2839562.178
227,0.957495833,2813314.257
228,0.944029167,2773746.498
229,0.940345833,2762924.127
230,0.9087625,2670125.978
231,0.893933333,2626554.919
232,0.8899625,2614887.818
233,0.894966667,2629591.061
234,0.948383333,2786539.909
235,0.988879167,2905524.768
236,1.002916667,2946769.751
237,0.984029167,2891274.498
238,0.907883333,2667542.809
239,0.819491667,2407830.416
240,0.748166667,2198263.301
241,0.693625,2038008.975
242,0.6601875,1939762.913
243,0.647470833,1902398.802
244,0.642404167,1887511.923
245,0.658904167,1935992.223
246,0.725679167,2132190.528
247,0.8471125,2488985.948
248,0.947041667,2782597.826
249,0.979429167,2877758.778
250,0.994825,2922994.815
251,0.987208333,2900615.524
252,0.970208333,2850666.124
253,0.958133333,2815187.359
254,0.9258875,2720442.653
255,0.905445833,2660380.947
256,0.8951125,2630019.548
257,0.8972,2636153.04
258,0.944370833,2774750.382
259,0.975820833,2867156.772
260,0.9716,2854755.12
261,0.956083333,2809164.049
262,0.895220833,2630337.852
263,0.823679167,2420134.128
264,0.765133333,2248114.759
265,0.706795833,2076707.517
266,0.657941667,1933164.206
267,0.633183333,1860419.269
268,0.620820833,1824095.772
269,0.6184375,1817093.063
270,0.6337,1861937.34
271,0.672179167,1974996.828
272,0.723904167,2126975.223
273,0.791125,2324483.475
274,0.852179167,2503872.828
275,0.861529167,2531344.998
276,0.842829167,2476400.658
277,0.834641667,2452344.146
278,0.820366667,2410401.341
279,0.789679167,2320235.328
280,0.766708333,2252742.424
281,0.763958333,2244662.374
282,0.818479167,2404855.488
283,0.853858333,2508806.554
284,0.867883333,2550014.809
285,0.8705875,2557960.193
286,0.8354,2454572.28
